"","Operator","Type","NumberOfCrashes"
"529","Air Taxi","Cessna T210L",1
"530","Air Taxi","Cessna TU206C",1
"531","Air Taxi","Cessna U206G",1
"532","Air Taxi","de Havilland DHC-2",1
"533","Air Taxi","Grumman G-21A",1
"534","Air Taxi","Hughes 369D",1
"535","Air Taxi","Mitsubishi MU-2B-60",1
"536","Air Taxi","Mitsubishi MU-2J",1
"537","Air Taxi","Piper PA-23",1
"538","Air Taxi","Piper PA-28-161",1
"539","Air Taxi","Piper PA-31",4
"540","Air Taxi","Piper PA-31-350",1
"541","Air Taxi","Piper PA-32-260",1
"542","Air Taxi","Piper PA-32-300",4
"543","Air Taxi","Piper PA-32-301",1
"544","Air Taxi","Piper PA-34",1
"545","Air Taxi","Piper PA-42",1
"546","Air Taxi","Robertson C-U206F",1
"547","Air Taxi","Shrike Commander 500S",1
"548","Air Taxi- Hermans Air Inc.","Cessna 208",1
"549","Air taxi - Aero Air Taxi","EMB 820C Navajo",1
"550","Air Taxi - Aero West Aviation Inc.","Cessna T210L",1
"551","Air Taxi - Air Grand Canyon Inc.","Cessna 207A",1
"552","Air Taxi - Air Medical Leasing","Beechcraft C-90",1
"553","Air taxi - Air Safaris Inc.","Cessna 177B Cardinal",1
"554","Air Taxi - Air Taxi Inc.","Piper PA-31-250",1
"555","Air Taxi - Air Trends Inc.","Piper PA-31-350",1
"556","Air Taxi - Air Vegas Inc.","Cessna T210L",1
"557","Air Taxi - Airis Helicopters Inc.","Bell 206B",1
"558","Air Taxi - Alpine Aviation","Piper PA-42",1
"559","Air Taxi - Baker Aviation Inc.","Cessna 402C",1
"560","Air Taxi - Basco Flying Service Inc.","Piper PA-23-250",1
"561","Air Taxi - Basco Flying Service Inc.","Piper PA-32-260",1
